"short","name","sub_families_num","child_lan_num"
"AtCo","Atlantic-Congo",93,14
"AuNe","Austronesian",76,12
"InEu","Indo-European",35,58
"SiTi","Sino-Tibetan",32,51
"AfAs","Afro-Asiatic",25,38
"Book","Bookkeeping",1,38
"NTNG","Nuclear Trans New Guinea",19,31
"PaNy","Pama-Nyungan",15,25
"SiLa","Sign Language",45,22
"Otom","Otomanguean",10,18
"AuAs","Austroasiatic",95,15
"Uncl","Unclassifiable",0,12
"TaKa","Tai-Kadai",65,95
"Pidg","Pidgin",49,87
"Drav","Dravidian",47,82
"Araw","Arawakan",55,77
"Mand","Mande",59,75
"Tupi","Tupian",47,70
"UtAz","Uto-Aztecan",40,69
"Unat","Unattested",18,68
"CeSu","Central Sudanic",39,63
"Nilo","Nilotic",37,56
"NuTo","Nuclear Torricelli",30,55
"Ural","Uralic",31,49
"Algi","Algic",26,47
"AETl","Athabaskan-Eyak-Tlingit",27,46
"PaTa","Pano-Tacanan",21,45
"HmMi","Hmong-Mien",25,44
"Quec","Quechuan",24,43
"Turk","Turkic",30,43
"Cari","Cariban",24,42
"Kruu","Kru",29,38
"NaDa","Nakh-Daghestanian",22,36
"Sepi","Sepik",23,36
"Maya","Mayan",25,34
"ArLa","Artificial Language",2,31
"NMJe","Nuclear-Macro-Je",17,29
"Chib","Chibchan",18,27
"Tuca","Tucanoan",22,26
"Sali","Salishan",15,25
"Ramu","Ramu",14,24
"TAPa","Timor-Alor-Pantar",14,23
"Dogo","Dogon",9,20
"LaPl","Lakes Plain",10,20
